neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
Squirrel Hill South,13,,,,11,,79,115,Y,77,38,115,,8-Jun
Stanton Heights,40,,,,,,27,75,Y,32,43,75,,8-Jun
Strip District,,,,,,,,,Y,,,,Y,8-Jun
Summer Hill,,,,,,,,12,Y,,,12,Y,8-Jun
Swisshelm Park,,,,,,,,,Y,,,,Y,8-Jun
Terrace Village,62,,,,,,,67,Y,13,54,67,,8-Jun
Troy Hill,18,,,,,,19,41,Y,29,12,41,,8-Jun
Upper Hill,27,,,,,,,34,Y,12,22,34,,8-Jun
Upper Lawrenceville,,,,,,,17,26,Y,14,12,26,,8-Jun
West End,,,,,,,,,Y,,,,Y,8-Jun
West Oakland,11,,,,,,,11,N,,,11,Y,8-Jun
Westwood,,,19,,,,24,55,Y,34,21,55,,8-Jun
Wilkinsburg Borough,94,,,,,,,98,Y,,,98,Y,8-Jun
Windgap,17,,,,,,,27,Y,14,13,27,,8-Jun
Allegheny Center,14,,,,,,,18,Y,,,18,Y,12-Sep
Allegheny West,,,,,,,,,Y,,,,Y,12-Sep
Allentown,48,,,,,,,67,Y,35,32,67,,12-Sep
Arlington,28,,,,,,28,60,Y,37,23,60,,12-Sep
Arlington Heights,,,,,,,,,Y,,,,Y,12-Sep
Banksville,,,,,,,26,43,Y,29,14,43,,12-Sep
Bedford Dwellings,47,,,,,,,48,Y,26,22,48,,12-Sep
Beechview,53,,,43,18,,98,215,Y,165,50,215,,12-Sep
Beltzhoover,51,,,,,,,70,Y,34,36,70,,12-Sep
Bloomfield,12,,,,,,33,65,Y,,,65,Y,12-Sep
Bluff,,,,,,,,,Y,,,,Y,12-Sep
Bon Air,,,,,,,13,18,Y,,,18,Y,12-Sep
Brighton Heights,78,,,,19,,50,151,Y,46,105,151,,12-Sep
Brookline,40,,14,17,22,,216,310,Y,190,120,310,,12-Sep
California-Kirkbride,28,,,,,,,33,Y,13,20,33,,12-Sep
Carrick,95,,44,15,41,,183,378,N,233,145,378,,12-Sep
Central Lawrenceville,,,,,,,36,46,Y,,,46,Y,12-Sep
Central Northside,22,,,,,,,34,Y,,,34,Y,12-Sep
Central Oakland,,,,,,,,,Y,,,,Y,12-Sep
Chartiers City,,,,,,,,,Y,,,,Y,12-Sep
Crafton Heights,79,,,,17,,51,154,Y,118,36,154,,12-Sep
Crawford-Roberts,59,,,,,,,62,Y,26,36,62,,12-Sep
Duquesne Heights,,,,,,,16,22,Y,,,22,Y,12-Sep
East Allegheny,,,,,,,,20,Y,,,20,Y,12-Sep
East Carnegie,,,,,,,,,Y,,,,Y,12-Sep
East Hills,118,,,,,,,120,Y,65,55,120,,12-Sep
